12,PROSTITUTION & RELATED OFFENSES,5
13,PROSTITUTION & RELATED OFFENSES,12
11,ROBBERY,3636
12,ROBBERY,4313
13,ROBBERY,4861
11,THEFT OF SERVICES,123
12,THEFT OF SERVICES,163
13,THEFT OF SERVICES,169
11,THEFT-FRAUD,1279
12,THEFT-FRAUD,5290
13,THEFT-FRAUD,1359
11,UNAUTHORIZED USE OF A VEHICLE,360
12,UNAUTHORIZED USE OF A VEHICLE,619
13,UNAUTHORIZED USE OF A VEHICLE,385
11,UNLAWFUL POSS. WEAP. ON SCHOOL,3
12,UNLAWFUL POSS. WEAP. ON SCHOOL,3
13,UNLAWFUL POSS. WEAP. ON SCHOOL,4
11,VEHICLE AND TRAFFIC LAWS,1313
12,VEHICLE AND TRAFFIC LAWS,1540
13,VEHICLE AND TRAFFIC LAWS,1465
