key,count
STATEN ISLAND VIOLATION,26899
STATEN ISLAND FELONY,37017
BRONX VIOLATION,70476
MANHATTAN VIOLATION,75636
QUEENS VIOLATION,90654
STATEN ISLAND MISDEMEANOR,98908
BROOKLYN VIOLATION,122539
BRONX FELONY,189084
QUEENS FELONY,266655
MANHATTAN FELONY,277703
BROOKLYN FELONY,369185
QUEENS MISDEMEANOR,411436
BRONX MISDEMEANOR,411647
MANHATTAN MISDEMEANOR,478297
BROOKLYN MISDEMEANOR,616119
