,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kings(BKN),2.523,2.5392,2.5499,2.5671,2.5101,2.5449,2.5749,2.6024,2.6218
Queens,2.2647,2.2778,2.2886,2.3067,2.2354,2.2614,2.2806,2.304,2.3216
New York(Manhattan),1.6126,1.6253,1.6316,1.6291,1.5775,1.61,1.6252,1.632,1.6363
Bronx,1.3714,1.3851,1.3893,1.3973,1.3883,1.3998,1.4142,1.4273,1.4382
Richmond(Staten Island),0.478876,0.482854,0.487365,0.49173,0.469602,0.471063,0.470977,0.472691,0.473279
NYC Total,8.250576,8.310254,8.346765,8.39193,8.180902,8.287163,8.365877,8.438391,8.491179
